epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.98706,0.96829,3.84251,1.29162,0.5814,0.67226,0.61019,0.48038,0.62891,3.2169,1.07571,8.574e-05,8.574e-05,8.574e-05
2,11.0199,0.76726,1.89572,1.18107,0.6855,0.71825,0.74147,0.6177,0.66742,3.42112,1.08786,0.000184544,0.000184544,0.000184544
3,15.3909,0.73159,1.11797,1.0987,0.82439,0.83458,0.85609,0.67176,0.7928,4.09278,1.16078,0.000282027,0.000282027,0.000282027
4,19.9564,0.69184,1.01056,1.09892,0.8444,0.83906,0.92517,0.73831,0.76993,3.16355,1.13768,0.000378191,0.000378191,0.000378191
5,24.656,0.65878,0.84538,1.11136,0.6506,0.85317,0.91575,0.72407,0.75868,3.95571,1.22541,0.000473033,0.000473033,0.000473033
6,28.9556,0.71879,0.81567,1.08647,0.6909,0.77214,0.78534,0.59254,0.82816,3.27561,1.26226,0.000566556,0.000566556,0.000566556
7,35.2514,0.6523,0.70841,1.03434,0.37163,0.83631,0.5942,0.44048,0.91414,10.1083,1.46034,0.000658758,0.000658758,0.000658758
8,40.689,0.74105,0.76234,1.07204,0.56162,0.87897,0.65362,0.53163,0.8197,9.5291,1.44299,0.000749639,0.000749639,0.000749639
9,45.9295,0.72888,0.84194,1.14127,0.38542,0.49345,0.30098,0.23209,1.02,28.4669,1.91649,0.0008392,0.0008392,0.0008392
10,50.478,0.72552,0.77103,1.09544,0.50034,0.93155,0.67399,0.46623,1.00351,10.9908,1.92031,0.000927441,0.000927441,0.000927441
11,54.6299,0.69373,0.69481,1.05698,0.4561,0.73492,0.51745,0.37083,1.13137,14.3134,1.95533,0.00101436,0.00101436,0.00101436
12,58.8664,0.6786,0.74014,1.07019,0.48242,0.4748,0.51677,0.36762,1.16941,5.89766,1.66979,0.00109996,0.00109996,0.00109996
13,63.0123,0.73019,0.68151,1.10194,0.32608,0.67321,0.52443,0.39486,1.01768,7.43751,1.40259,0.00118424,0.00118424,0.00118424
14,67.2982,0.74733,0.70491,1.11973,0.51118,0.78492,0.74021,0.52458,0.91875,6.82292,1.32983,0.0012672,0.0012672,0.0012672
15,71.5113,0.76027,0.74128,1.10558,0.89167,0.55476,0.86958,0.6288,0.88404,4.75965,1.33921,0.00129696,0.00129696,0.00129696
16,75.6513,0.77293,0.76042,1.15646,0.66949,0.77679,0.81201,0.61931,0.79918,2.67916,1.337,0.00128753,0.00128753,0.00128753
17,79.7284,0.77815,0.75,1.22256,0.55698,0.78988,0.66685,0.52082,0.97242,5.01456,1.66542,0.0012781,0.0012781,0.0012781
18,83.8337,0.68527,0.65681,1.08457,0.65198,0.71746,0.76258,0.57109,0.89309,4.12386,1.61766,0.00126867,0.00126867,0.00126867
19,87.9516,0.72184,0.66447,1.11815,0.82342,0.76488,0.85942,0.67934,0.77467,2.31366,1.31173,0.00125923,0.00125923,0.00125923
20,92.0721,0.75495,0.71065,1.0765,0.73617,0.88126,0.86889,0.67382,0.80858,1.8778,1.41316,0.0012498,0.0012498,0.0012498
21,96.1983,0.73489,0.62689,1.11498,0.86873,0.87481,0.93419,0.72679,0.76476,1.16638,1.35115,0.00124037,0.00124037,0.00124037
22,100.505,0.6729,0.57523,1.01932,0.85461,0.81448,0.8868,0.69226,0.79033,0.93345,1.22887,0.00123094,0.00123094,0.00123094
23,104.683,0.68176,0.57921,1.06975,0.85332,0.917,0.95489,0.76765,0.76757,1.41028,1.21647,0.00122151,0.00122151,0.00122151
24,109.018,0.67935,0.57322,1.0792,0.82415,0.88439,0.93943,0.72788,0.74108,1.75282,1.20984,0.00121208,0.00121208,0.00121208
25,113.305,0.66656,0.6098,1.12737,0.93032,0.93153,0.9861,0.74061,0.76702,0.92898,1.22705,0.00120265,0.00120265,0.00120265
26,117.531,0.74799,0.62704,1.10478,0.93844,0.9607,0.98944,0.78283,0.76104,0.81882,1.19094,0.00119322,0.00119322,0.00119322
