epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.18258,1.10355,4.03101,1.39817,0.77457,0.31667,0.3349,0.21552,0.89802,2.96682,1.26276,8.574e-05,8.574e-05,8.574e-05
2,7.07003,0.949,2.19334,1.3658,0.62319,0.68889,0.68806,0.57561,0.7129,2.14645,1.14792,0.000184544,0.000184544,0.000184544
3,9.25953,0.79604,1.22853,1.14611,0.80138,0.78273,0.85662,0.66573,0.75627,1.33654,1.14883,0.000282027,0.000282027,0.000282027
4,11.294,0.75058,0.93928,1.10367,0.90059,0.94769,0.95562,0.80513,0.6306,1.12146,1.02192,0.000378191,0.000378191,0.000378191
5,13.4271,0.68677,0.8699,1.08608,0.89729,0.93039,0.95457,0.76062,0.79129,1.28397,1.14842,0.000473033,0.000473033,0.000473033
6,15.4347,0.72042,0.79481,1.0502,0.96921,0.91854,0.96491,0.79714,0.66147,0.97503,1.03061,0.000566556,0.000566556,0.000566556
7,17.5113,0.67956,0.77102,1.03485,0.95531,0.75695,0.85449,0.68594,0.76127,1.47485,1.06194,0.000658758,0.000658758,0.000658758
8,19.4654,0.72427,0.77218,1.03338,0.83892,0.86739,0.92933,0.73577,0.75997,1.2126,1.06064,0.000749639,0.000749639,0.000749639
9,21.4005,0.60867,0.65837,1.02118,0.88083,0.96329,0.97308,0.78708,0.72751,1.34652,1.08505,0.0008392,0.0008392,0.0008392
10,23.354,0.671,0.66198,1.01093,0.57256,0.69378,0.70114,0.57014,0.76784,3.44997,1.11082,0.000927441,0.000927441,0.000927441
11,25.3039,0.65692,0.65869,0.9881,0.87485,0.82138,0.92251,0.74598,0.76183,1.36672,1.08705,0.00101436,0.00101436,0.00101436
12,27.2982,0.66035,0.6387,1.03538,0.7978,0.96221,0.97253,0.77451,0.74666,2.30273,1.14021,0.00109996,0.00109996,0.00109996
13,29.3041,0.6623,0.63444,1.00825,0.76884,0.96503,0.97852,0.79419,0.73967,1.69366,1.13846,0.00118424,0.00118424,0.00118424
14,31.2691,0.65906,0.62414,1.02903,0.73535,0.95262,0.9553,0.78128,0.74054,2.38235,1.11929,0.0012672,0.0012672,0.0012672
15,33.4091,0.6749,0.60102,0.99234,0.82988,0.94742,0.96518,0.78127,0.66735,1.70018,1.09259,0.00129696,0.00129696,0.00129696
16,35.4052,0.67744,0.66246,1.02939,0.88933,0.90495,0.94643,0.74583,0.71677,1.03078,1.10151,0.00128753,0.00128753,0.00128753
17,37.4102,0.69878,0.66114,1.08631,0.91567,0.84165,0.93502,0.7397,0.75169,0.94828,1.15054,0.0012781,0.0012781,0.0012781
18,39.6126,0.62694,0.56769,0.99686,0.89252,0.90478,0.94902,0.74172,0.74688,0.76162,1.13554,0.00126867,0.00126867,0.00126867
19,41.6306,0.61961,0.59055,1.00942,0.82121,0.93978,0.95764,0.79039,0.70724,0.9464,1.07932,0.00125923,0.00125923,0.00125923
20,44.0707,0.62929,0.54333,0.97909,0.90193,0.95001,0.96571,0.77099,0.79214,0.91241,1.15955,0.0012498,0.0012498,0.0012498
21,46.0396,0.66417,0.54097,1.02719,0.9215,0.88741,0.97489,0.78233,0.71392,0.82029,1.13175,0.00124037,0.00124037,0.00124037
22,48.1622,0.61106,0.51965,0.9657,0.96198,0.90549,0.97881,0.7931,0.6834,0.65722,1.05434,0.00123094,0.00123094,0.00123094
23,50.1349,0.61635,0.51516,0.98504,0.93792,0.92827,0.97579,0.78514,0.7545,0.61532,1.09129,0.00122151,0.00122151,0.00122151
24,52.2387,0.61702,0.48874,0.98975,0.94897,0.80437,0.91687,0.75123,0.71618,0.69726,1.03867,0.00121208,0.00121208,0.00121208
25,54.4702,0.63789,0.53906,1.05464,0.90791,0.90744,0.93023,0.75502,0.71792,0.66732,1.04021,0.00120265,0.00120265,0.00120265
26,56.4879,0.68317,0.55106,1.04582,0.95723,0.95594,0.98375,0.78767,0.77082,0.52316,1.0547,0.00119322,0.00119322,0.00119322
27,58.5118,0.6439,0.50731,0.97901,0.94377,0.97292,0.98716,0.81086,0.6917,0.50003,1.04191,0.00118378,0.00118378,0.00118378
28,60.5787,0.56474,0.46473,0.96389,0.96436,0.95933,0.98271,0.81531,0.66403,0.49023,1.02344,0.00117435,0.00117435,0.00117435
29,62.6743,0.61823,0.47697,0.99819,0.93739,0.96291,0.98962,0.8411,0.68831,0.47825,1.02912,0.00116492,0.00116492,0.00116492
30,64.78,0.59519,0.47702,0.95863,0.9793,0.89017,0.99057,0.80698,0.72204,0.54475,1.03317,0.00115549,0.00115549,0.00115549
31,66.7717,0.61983,0.51366,0.99278,0.97734,0.87785,0.99439,0.79058,0.7073,0.52584,1.02834,0.00114606,0.00114606,0.00114606
32,68.9152,0.56843,0.46769,0.94054,0.98224,0.96973,0.99333,0.809,0.67379,0.5237,1.00734,0.00113663,0.00113663,0.00113663
33,70.9174,0.55365,0.46555,0.96337,0.97769,0.93668,0.99081,0.84107,0.64417,0.54332,0.98776,0.0011272,0.0011272,0.0011272
34,72.9843,0.56519,0.45453,0.95744,0.93396,0.97005,0.9817,0.80365,0.70486,0.51227,1.04439,0.00111776,0.00111776,0.00111776
35,75.0568,0.56941,0.45824,0.96106,0.91009,0.92711,0.96252,0.80683,0.64669,0.49169,1.00233,0.00110833,0.00110833,0.00110833
36,77.1084,0.59002,0.44357,0.99592,0.94573,0.93775,0.98101,0.8057,0.68376,0.43783,1.01637,0.0010989,0.0010989,0.0010989
37,79.1528,0.58423,0.47475,0.96931,0.93152,0.95912,0.98884,0.80515,0.72868,0.46786,1.05774,0.00108947,0.00108947,0.00108947
38,81.1843,0.60018,0.47869,1.00746,0.95763,0.98166,0.99197,0.8355,0.60478,0.43531,0.97454,0.00108004,0.00108004,0.00108004
39,83.2571,0.61083,0.47705,0.96822,0.98423,0.89797,0.98468,0.80771,0.68801,0.50277,1.02974,0.00107061,0.00107061,0.00107061
40,85.3408,0.56193,0.45076,0.96595,0.9569,0.95844,0.99266,0.82581,0.67294,0.47582,1.01862,0.00106118,0.00106118,0.00106118
41,87.524,0.57681,0.44914,0.95024,0.93213,0.9663,0.98054,0.81514,0.64423,0.44814,0.99845,0.00105174,0.00105174,0.00105174
